# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.92        2916595.31
2                       5.86        2928011.99
4                      11.66        2915826.87
8                      23.46        2931989.88
16                     46.75        2921682.70
32                     92.90        2902969.47
64                    179.96        2811872.22
128                   351.91        2749260.88
256                   679.07        2652607.85
512                  1113.92        2175621.39
1024                 2035.35        1987648.38
2048                 3596.56        1756131.31
4096                 2978.01         727054.05
8192                 4779.13         583389.66
16384                7195.57         439182.47
32768                9218.64         281330.66
65536               10021.17         152910.91
131072              10627.63          81082.37
262144              10834.95          41332.04
524288              10990.75          20963.20
1048576             11034.88          10523.68
2097152             11075.48           5281.20
4194304             11052.31           2635.08
