# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.15
2                       6.23
4                      12.98
8                      26.08
16                     52.24
32                    104.03
64                    202.01
128                   384.46
256                   736.06
512                  1201.05
1024                 2137.98
2048                 3638.31
4096                 3016.89
8192                 4714.10
16384                7277.78
32768                9199.74
65536               10096.88
131072              10690.51
262144              10911.16
524288              11069.42
1048576             11114.05
2097152             11145.89
4194304             11156.31
