# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.61
2                       0.61
4                       0.61
8                       0.62
16                      0.61
32                      0.60
64                      0.60
128                     0.62
256                     0.66
512                     0.79
1024                    0.90
2048                    1.04
4096                    2.04
8192                    2.85
16384                   4.39
32768                   6.93
65536                   9.72
131072                 15.49
262144                 27.47
524288                 52.90
1048576               106.64
2097152               208.87
4194304               417.00
