# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.57
2                       0.57
4                       0.58
8                       0.57
16                      0.56
32                      0.58
64                      0.57
128                     0.57
256                     0.59
512                     0.75
1024                    0.85
2048                    1.05
4096                    1.97
8192                    2.77
16384                   4.42
32768                   6.82
65536                   9.55
131072                 15.43
262144                 27.56
524288                 53.00
1048576               107.41
2097152               210.97
4194304               416.14
