# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.43        3427915.96
2                       6.79        3393728.62
4                      13.92        3480449.77
8                      27.84        3479405.86
16                     55.85        3490500.19
32                    111.37        3480325.42
64                    221.52        3461240.78
128                   435.43        3401795.17
256                   847.75        3311536.18
512                  1287.04        2513754.85
1024                 2299.27        2245382.09
2048                 3938.85        1923264.68
4096                 3406.35         831628.31
8192                 5228.62         638259.16
16384                7777.64         474709.56
32768                9497.22         289832.25
65536               10514.94         160445.20
131072              10921.02          83320.73
262144              11110.67          42383.83
524288              11229.99          21419.51
1048576             11287.30          10764.41
2097152             11253.14           5365.91
4194304             11316.05           2697.96
