# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.21
2                       6.31
4                      12.81
8                      25.30
16                     50.59
32                    100.07
64                    193.92
128                   377.23
256                   711.90
512                  1162.88
1024                 2105.14
2048                 3547.07
4096                 2980.85
8192                 4772.19
16384                7185.80
32768                9162.72
65536               10085.53
131072              10686.74
262144              10895.65
524288              11060.14
1048576             11112.05
2097152             11150.11
4194304             11162.25
