# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.58
2                       0.58
4                       0.57
8                       0.58
16                      0.58
32                      0.58
64                      0.57
128                     0.60
256                     0.63
512                     0.76
1024                    0.86
2048                    1.04
4096                    1.99
8192                    2.77
16384                   4.29
32768                   6.83
65536                   9.57
131072                 15.43
262144                 27.49
524288                 53.17
1048576               107.63
2097152               212.60
4194304               422.39
