# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.58
2                       0.58
4                       0.59
8                       0.59
16                      0.58
32                      0.59
64                      0.58
128                     0.60
256                     0.65
512                     0.76
1024                    0.90
2048                    1.01
4096                    2.00
8192                    2.93
16384                   4.37
32768                   6.90
65536                   9.83
131072                 15.40
262144                 27.34
524288                 52.89
1048576               107.65
2097152               214.88
4194304               411.73
