# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.49
2                       6.80
4                      14.30
8                      27.66
16                     57.86
32                    115.02
64                    229.27
128                   435.41
256                   832.84
512                  1119.89
1024                 1956.44
2048                 3557.23
4096                 3354.97
8192                 5008.10
16384                7521.74
32768                9315.72
65536               10479.99
131072              10901.42
262144              11111.06
524288              11264.76
1048576             11330.58
2097152             11371.57
4194304             11376.45
