# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.63
2                       0.62
4                       0.63
8                       0.66
16                      0.64
32                      0.65
64                      0.63
128                     0.65
256                     0.63
512                     0.77
1024                    0.89
2048                    1.00
4096                    2.06
8192                    2.88
16384                   4.39
32768                   6.89
65536                   9.66
131072                 15.40
262144                 27.27
524288                 52.42
1048576               106.54
2097152               207.89
4194304               412.43
