# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.19
2                       6.28
4                      12.71
8                      25.45
16                     50.67
32                    100.10
64                    193.31
128                   376.34
256                   699.19
512                  1139.84
1024                 2080.47
2048                 3487.18
4096                 2979.45
8192                 4663.45
16384                7078.92
32768                9049.63
65536               10012.00
131072              10633.29
262144              10892.01
524288              11070.92
1048576             11122.45
2097152             11158.45
4194304             11171.17
