# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.57
2                       0.58
4                       0.58
8                       0.57
16                      0.56
32                      0.55
64                      0.57
128                     0.57
256                     0.71
512                     0.76
1024                    0.88
2048                    1.02
4096                    1.94
8192                    2.79
16384                   4.33
32768                   6.85
65536                   9.64
131072                 15.35
262144                 27.41
524288                 52.36
1048576               106.12
2097152               207.69
4194304               411.88
