# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.19
2                       6.26
4                      12.54
8                      25.29
16                     50.81
32                     99.26
64                    195.57
128                   365.90
256                   711.80
512                  1110.34
1024                 2005.99
2048                 3453.28
4096                 2931.73
8192                 4700.36
16384                7133.12
32768                9138.70
65536               10031.38
131072              10618.98
262144              10849.32
524288              11010.58
1048576             11068.54
2097152             11108.27
4194304             11121.19
