# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.53
2                       7.13
4                      14.23
8                      28.25
16                     56.53
32                    113.93
64                    229.41
128                   450.68
256                   855.01
512                  1131.16
1024                 1947.26
2048                 3582.44
4096                 3309.68
8192                 4981.15
16384                7482.77
32768                9290.20
65536               10444.72
131072              10850.72
262144              11049.63
524288              11191.55
1048576             11247.19
2097152             11286.91
4194304             11295.12
