# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.58
2                       0.55
4                       0.55
8                       0.58
16                      0.56
32                      0.56
64                      0.58
128                     0.59
256                     0.70
512                     0.77
1024                    0.89
2048                    1.04
4096                    1.98
8192                    2.88
16384                   4.41
32768                   6.95
65536                   9.67
131072                 15.41
262144                 27.28
524288                 52.95
1048576               108.53
2097152               213.39
4194304               412.37
