# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.60
2                       7.18
4                      14.16
8                      28.98
16                     57.22
32                    115.39
64                    229.56
128                   452.65
256                   852.50
512                  1125.89
1024                 1932.50
2048                 3538.51
4096                 3327.67
8192                 4944.15
16384                7489.29
32768                9307.55
65536               10463.46
131072              10903.82
262144              11118.32
524288              11265.41
1048576             11331.23
2097152             11368.96
4194304             11373.00
