# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.58
2                       0.55
4                       0.55
8                       0.56
16                      0.56
32                      0.55
64                      0.55
128                     0.59
256                     0.60
512                     0.77
1024                    0.84
2048                    1.02
4096                    2.06
8192                    2.83
16384                   4.34
32768                   6.89
65536                   9.56
131072                 15.50
262144                 27.57
524288                 53.17
1048576               107.80
2097152               210.96
4194304               425.23
