# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.30        3302854.18
2                       6.51        3252583.38
4                      13.23        3307222.98
8                      26.52        3315044.99
16                     52.71        3294359.86
32                    105.32        3291402.41
64                    208.35        3255423.26
128                   414.10        3235178.69
256                   801.99        3132771.05
512                  1237.86        2417696.15
1024                 2194.93        2143487.03
2048                 3804.04        1857442.88
4096                 3290.19         803268.65
8192                 4985.29         608555.66
16384                7569.19         461986.92
32768                9310.94         284147.27
65536               10369.71         158229.18
131072              10798.91          82389.15
262144              10983.61          41899.14
524288              11115.65          21201.42
1048576             11165.13          10647.90
2097152             11203.58           5342.28
4194304             11202.11           2670.79
