# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.16        3156508.37
2                       6.40        3198911.25
4                      12.95        3236323.52
8                      25.12        3140593.63
16                     51.93        3245711.63
32                    102.40        3200130.57
64                    205.57        3212090.95
128                   419.29        3275669.44
256                   743.08        2902665.86
512                  1195.91        2335765.83
1024                 2199.16        2147615.98
2048                 3798.69        1854831.39
4096                 3325.10         811792.35
8192                 5088.29         621128.86
16384                7632.21         465833.08
32768                9427.44         287702.70
65536               10469.04         159744.85
131072              10860.02          82855.35
262144              11044.41          42131.07
524288              11164.92          21295.40
1048576             11219.57          10699.81
2097152             11259.68           5369.03
4194304             11255.30           2683.47
