# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.60
2                       0.60
4                       0.60
8                       0.59
16                      0.60
32                      0.60
64                      0.60
128                     0.60
256                     0.65
512                     0.79
1024                    0.91
2048                    1.06
4096                    2.01
8192                    2.84
16384                   4.38
32768                   6.90
65536                   9.67
131072                 15.58
262144                 27.33
524288                 52.45
1048576               107.67
2097152               208.96
4194304               412.18
