# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.09        3094278.11
2                       5.90        2948207.59
4                      12.02        3004640.81
8                      24.37        3046594.81
16                     49.29        3080393.70
32                     92.66        2895621.92
64                    191.66        2994761.37
128                   357.91        2796159.37
256                   682.08        2664372.86
512                  1126.01        2199228.52
1024                 2025.43        1977955.38
2048                 3547.59        1732223.15
4096                 2946.62         719389.41
8192                 4767.46         581965.77
16384                7188.13         438728.52
32768                9188.00         280395.42
65536               10017.71         152858.07
131072              10675.50          81447.61
262144              10875.56          41486.95
524288              11038.97          21055.16
1048576             11092.93          10579.04
2097152             11135.43           5309.79
4194304             11108.20           2648.40
