# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.37
2                       6.75
4                      13.71
8                      27.06
16                     54.58
32                    109.61
64                    217.53
128                   429.02
256                   814.84
512                  1129.05
1024                 1954.62
2048                 3536.70
4096                 3251.55
8192                 4816.78
16384                7395.22
32768                9235.81
65536               10400.37
131072              10723.25
262144              10982.36
524288              11102.31
1048576             11160.09
2097152             11185.39
4194304             11194.70
