# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.59
2                       0.58
4                       0.59
8                       0.58
16                      0.59
32                      0.59
64                      0.59
128                     0.62
256                     0.56
512                     0.71
1024                    0.82
2048                    0.95
4096                    1.98
8192                    2.83
16384                   4.32
32768                   6.83
65536                   9.57
131072                 15.33
262144                 27.20
524288                 52.12
1048576               106.08
2097152               209.34
4194304               410.87
