# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.62
2                       0.62
4                       0.62
8                       0.61
16                      0.61
32                      0.62
64                      0.63
128                     0.67
256                     0.67
512                     0.78
1024                    0.90
2048                    1.04
4096                    2.00
8192                    2.84
16384                   4.35
32768                   6.90
65536                   9.88
131072                 15.40
262144                 27.28
524288                 52.76
1048576               106.49
2097152               207.71
4194304               411.43
