# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.47
2                       6.91
4                      13.94
8                      28.73
16                     55.30
32                    113.52
64                    222.87
128                   445.59
256                   837.46
512                  1128.63
1024                 1991.87
2048                 3623.46
4096                 3412.01
8192                 5167.39
16384                7710.56
32768                9554.02
65536               10549.45
131072              10969.19
262144              11169.38
524288              11307.39
1048576             11365.20
2097152             11391.70
4194304             11404.16
