# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.91
2                       0.60
4                       0.61
8                       0.61
16                      0.62
32                      0.62
64                      0.61
128                     0.63
256                     0.65
512                     0.77
1024                    0.88
2048                    1.01
4096                    2.08
8192                    2.95
16384                   4.47
32768                   6.97
65536                   9.78
131072                 15.55
262144                 27.55
524288                 53.12
1048576               107.56
2097152               211.11
4194304               414.90
