# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.15
2                       6.30
4                      12.46
8                      24.98
16                     49.79
32                     99.16
64                    192.96
128                   367.09
256                   695.91
512                  1130.36
1024                 2017.79
2048                 3497.24
4096                 2929.28
8192                 4584.50
16384                6985.58
32768                8943.67
65536                9919.01
131072              10550.22
262144              10800.37
524288              10963.41
1048576             11027.59
2097152             11073.64
4194304             11083.34
