# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.36        3363995.63
2                       6.66        3330866.93
4                      13.54        3385241.96
8                      27.57        3445888.99
16                     54.56        3409939.22
32                    109.81        3431617.17
64                    219.75        3433658.03
128                   427.97        3343506.82
256                   831.73        3248939.42
512                  1271.77        2483928.02
1024                 2274.05        2220748.66
2048                 3907.11        1907768.74
4096                 3424.49         836058.08
8192                 5226.38         637985.68
16384                7759.57         473606.40
32768                9545.97         291319.85
65536               10528.76         160656.15
131072              10907.54          83217.95
262144              11116.26          42405.19
524288              11252.53          21462.50
1048576             11308.30          10784.43
2097152             11346.09           5410.24
4194304             11346.16           2705.14
