# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.60
2                       0.60
4                       0.60
8                       0.60
16                      0.60
32                      0.60
64                      0.59
128                     0.62
256                     0.63
512                     0.78
1024                    0.89
2048                    1.08
4096                    2.07
8192                    2.87
16384                   4.40
32768                   6.88
65536                   9.69
131072                 15.64
262144                 27.74
524288                 53.77
1048576               112.61
2097152               213.18
4194304               421.76
