# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.05        3051336.45
2                       6.04        3020511.40
4                      12.20        3050368.16
8                      24.41        3051108.21
16                     48.71        3044196.21
32                     96.65        3020190.11
64                    190.25        2972616.81
128                   364.62        2848581.98
256                   700.41        2735973.78
512                  1106.41        2160958.38
1024                 2041.81        1993958.62
2048                 3513.63        1715639.23
4096                 2941.66         718177.97
8192                 4705.42         574392.45
16384                7108.35         433859.08
32768                9121.68         278371.63
65536                9973.07         152176.91
131072              10596.62          80845.79
262144              10835.62          41334.61
524288              11012.48          21004.64
1048576             11064.51          10551.94
2097152             11111.04           5298.16
4194304             11108.62           2648.50
