# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.62
2                       0.62
4                       0.63
8                       0.64
16                      0.62
32                      0.64
64                      0.63
128                     0.63
256                     0.69
512                     0.78
1024                    0.89
2048                    1.03
4096                    2.02
8192                    2.87
16384                   4.45
32768                   6.97
65536                   9.71
131072                 15.52
262144                 27.43
524288                 53.52
1048576               109.86
2097152               211.69
4194304               413.59
