# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.44
2                       6.78
4                      13.97
8                      28.02
16                     54.31
32                    110.53
64                    223.19
128                   432.76
256                   833.83
512                  1116.07
1024                 1916.59
2048                 3501.71
4096                 3255.85
8192                 4943.10
16384                7455.04
32768                9195.66
65536               10405.44
131072              10664.70
262144              10991.73
524288              11203.97
1048576             11257.12
2097152             11260.16
4194304             11315.81
