# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.55
2                       0.55
4                       0.55
8                       0.54
16                      0.57
32                      0.56
64                      0.55
128                     0.56
256                     0.59
512                     0.75
1024                    0.84
2048                    1.06
4096                    2.00
8192                    2.77
16384                   4.30
32768                   6.83
65536                   9.61
131072                 15.52
262144                 27.81
524288                 53.90
1048576               110.24
2097152               214.00
4194304               419.77
