# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.01        3005401.46
2                       6.17        3082505.38
4                      12.26        3063772.28
8                      24.54        3067813.44
16                     48.78        3048769.89
32                     96.75        3023327.76
64                    188.33        2942654.69
128                   364.74        2849506.05
256                   701.05        2738463.83
512                  1124.17        2195651.64
1024                 2039.04        1991248.59
2048                 3558.22        1737412.43
4096                 2958.06         722181.65
8192                 4672.28         570346.92
16384                7165.87         437369.90
32768                9166.07         279726.33
65536               10070.07         153657.04
131072              10658.65          81319.02
262144              10853.77          41403.84
524288              11014.03          21007.60
1048576             11046.08          10534.36
2097152             11091.21           5288.70
4194304             11098.50           2646.09
