# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.16
2                       6.18
4                      12.40
8                      24.83
16                     49.56
32                     98.44
64                    191.29
128                   374.64
256                   706.86
512                  1158.85
1024                 2062.95
2048                 3580.05
4096                 2974.96
8192                 4675.06
16384                7111.78
32768                9081.83
65536               10012.76
131072              10676.42
262144              10892.76
524288              11045.41
1048576             11100.06
2097152             11129.64
4194304             11111.92
