# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.20
2                       6.35
4                      12.78
8                      25.76
16                     51.06
32                     99.54
64                    198.61
128                   378.23
256                   723.15
512                  1159.23
1024                 2100.79
2048                 3603.10
4096                 2982.30
8192                 4782.28
16384                7232.95
32768                9214.50
65536               10091.21
131072              10680.11
262144              10900.67
524288              11029.66
1048576             11072.54
2097152             11103.98
4194304             11114.84
