# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.09
2                       6.06
4                      11.98
8                      23.86
16                     48.99
32                     94.80
64                    187.51
128                   359.63
256                   700.61
512                  1151.70
1024                 2074.36
2048                 3539.70
4096                 2924.13
8192                 4661.92
16384                7113.68
32768                9092.28
65536               10014.71
131072              10624.38
262144              10809.62
524288              10863.03
1048576             10960.48
2097152             10996.38
4194304             11058.58
