# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.56
2                       0.56
4                       0.56
8                       0.56
16                      0.56
32                      0.55
64                      0.55
128                     0.57
256                     0.59
512                     0.74
1024                    0.82
2048                    1.09
4096                    1.98
8192                    2.76
16384                   4.40
32768                   6.86
65536                   9.75
131072                 15.43
262144                 27.44
524288                 53.29
1048576               109.77
2097152               214.76
4194304               416.58
