# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.74        4743240.96
2                       9.59        4793527.42
4                      19.23        4808369.21
8                      38.49        4811759.10
16                     77.30        4831465.64
32                    155.59        4862322.95
64                    300.18        4690363.46
128                   568.63        4442412.66
256                  1122.01        4382834.57
512                  1807.19        3529668.57
1024                 3442.50        3361813.32
2048                 5986.85        2923267.96
4096                 5453.59        1331443.32
8192                 9408.97        1148555.52
16384               15533.77         948106.29
32768               22422.44         684278.51
65536               25809.60         393823.17
131072              27743.25         211664.22
262144              28276.82         107867.49
524288              28602.79          54555.49
1048576             31805.54          30332.12
2097152             28842.36          13753.11
4194304             28804.47           6867.52
