# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.31
2                       0.31
4                       0.32
8                       0.32
16                      0.31
32                      0.31
64                      0.31
128                     0.35
256                     0.33
512                     0.37
1024                    0.41
2048                    0.48
4096                    1.05
8192                    1.33
16384                   1.88
32768                   2.89
65536                   4.47
131072                  7.41
262144                 14.37
524288                 28.37
1048576                56.21
2097152               118.09
4194304               265.83
