# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.31
2                       0.31
4                       0.32
8                       0.31
16                      0.32
32                      0.30
64                      0.31
128                     0.34
256                     0.35
512                     0.37
1024                    0.41
2048                    0.48
4096                    1.05
8192                    1.33
16384                   1.87
32768                   2.93
65536                   4.39
131072                  7.41
262144                 14.30
524288                 28.39
1048576                56.11
2097152               117.53
4194304               263.83
