# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.31
2                       0.31
4                       0.32
8                       0.35
16                      0.31
32                      0.31
64                      0.33
128                     0.36
256                     0.33
512                     0.37
1024                    0.40
2048                    0.47
4096                    1.08
8192                    1.34
16384                   1.86
32768                   2.93
65536                   4.49
131072                  7.53
262144                 14.29
524288                 28.21
1048576                55.88
2097152               117.66
4194304               264.72
