# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.62        4619917.24
2                       9.40        4699858.93
4                      18.82        4705997.93
8                      37.55        4693855.73
16                     75.94        4746471.67
32                    151.64        4738638.89
64                    295.87        4622894.93
128                   556.39        4346801.69
256                  1088.51        4251992.47
512                  1772.41        3461744.96
1024                 3365.37        3286490.07
2048                 5956.03        2908219.10
4096                 5515.23        1346492.61
8192                 9773.03        1192996.71
16384               15917.27         971513.08
32768               22260.06         679323.14
65536               25711.13         392320.76
131072              27853.28         212503.63
262144              28383.01         108272.58
524288              28636.21          54619.24
1048576             31783.25          30310.87
2097152             28843.30          13753.56
4194304             28761.99           6857.39
