# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.29
4                       0.30
8                       0.28
16                      0.28
32                      0.29
64                      0.28
128                     0.29
256                     0.31
512                     0.32
1024                    0.34
2048                    0.41
4096                    0.80
8192                    1.10
16384                   1.69
32768                   2.75
65536                   4.15
131072                  6.64
262144                 12.76
524288                 25.55
1048576                49.70
2097152               104.00
4194304               261.42
