# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.32
2                       0.32
4                       0.31
8                       0.31
16                      0.32
32                      0.33
64                      0.30
128                     0.35
256                     0.35
512                     0.38
1024                    0.39
2048                    0.46
4096                    1.06
8192                    1.33
16384                   1.87
32768                   2.93
65536                   4.50
131072                  7.05
262144                 14.00
524288                 27.92
1048576                55.56
2097152               117.57
4194304               263.64
