# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.32
2                       0.31
4                       0.33
8                       0.33
16                      0.31
32                      0.31
64                      0.33
128                     0.35
256                     0.34
512                     0.38
1024                    0.41
2048                    0.48
4096                    1.08
8192                    1.34
16384                   1.86
32768                   2.92
65536                   4.48
131072                  7.47
262144                 14.27
524288                 28.32
1048576                56.13
2097152               117.95
4194304               263.53
