# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.80
2                      17.64
4                      34.53
8                      69.18
16                    137.69
32                    274.89
64                    551.62
128                  1069.66
256                  1956.19
512                  2809.78
1024                 5582.26
2048                 9018.34
4096                 8403.44
8192                13489.42
16384               21929.52
32768               28357.59
65536               31926.10
131072              33260.29
262144              35346.57
524288              34701.27
1048576             35139.49
2097152             35249.86
4194304             35123.87
