# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.46
2                      11.01
4                      22.28
8                      44.29
16                     88.34
32                    177.16
64                    350.26
128                   695.43
256                  1371.10
512                  1806.91
1024                 3600.72
2048                 6396.11
4096                 5424.23
8192                 9267.47
16384               15655.26
32768               23356.99
65536               26603.45
131072              29141.10
262144              28296.44
524288              28674.75
1048576             28909.90
2097152             29052.22
4194304             29001.96
