# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.49
2                      11.05
4                      22.04
8                      44.13
16                     88.39
32                    177.21
64                    349.07
128                   692.02
256                  1385.57
512                  1805.79
1024                 3521.42
2048                 6233.60
4096                 5369.13
8192                 9132.99
16384               15370.79
32768               21713.31
65536               25710.57
131072              27957.16
262144              28264.80
524288              28728.43
1048576             28916.34
2097152             29102.33
4194304             29051.43
