# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.29
8                       0.29
16                      0.28
32                      0.29
64                      0.29
128                     0.29
256                     0.31
512                     0.31
1024                    0.35
2048                    0.40
4096                    0.78
8192                    1.10
16384                   1.67
32768                   2.74
65536                   4.18
131072                  6.86
262144                 12.81
524288                 25.57
1048576                49.77
2097152               103.46
4194304               252.98
