# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.31
2                       0.31
4                       0.32
8                       0.32
16                      0.32
32                      0.31
64                      0.31
128                     0.34
256                     0.35
512                     0.36
1024                    0.41
2048                    0.47
4096                    1.06
8192                    1.31
16384                   1.89
32768                   2.91
65536                   4.44
131072                  7.26
262144                 14.22
524288                 28.40
1048576                56.32
2097152               118.13
4194304               264.26
