# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.82
2                      17.66
4                      34.43
8                      69.14
16                    137.21
32                    276.63
64                    553.40
128                  1078.20
256                  1941.82
512                  2827.80
1024                 5535.61
2048                 9041.90
4096                 8322.07
8192                13355.46
16384               21936.73
32768               28345.00
65536               31952.93
131072              33597.62
262144              35958.12
524288              36476.62
1048576             35037.64
2097152             35228.34
4194304             34966.09
