# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.31
2                       0.32
4                       0.31
8                       0.33
16                      0.31
32                      0.31
64                      0.32
128                     0.36
256                     0.34
512                     0.38
1024                    0.42
2048                    0.46
4096                    1.07
8192                    1.34
16384                   1.86
32768                   2.92
65536                   4.48
131072                  7.13
262144                 14.04
524288                 28.02
1048576                55.65
2097152               116.92
4194304               260.59
