# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.49
2                      10.92
4                      22.15
8                      44.06
16                     88.15
32                    177.99
64                    351.96
128                   688.23
256                  1361.02
512                  1800.17
1024                 3597.44
2048                 6383.38
4096                 5345.64
8192                 9064.54
16384               15520.59
32768               21601.47
65536               25689.37
131072              27887.39
262144              28213.01
524288              28734.55
1048576             28976.97
2097152             29131.69
4194304             29084.31
