# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.74
2                      17.70
4                      34.79
8                      69.53
16                    138.09
32                    274.23
64                    548.03
128                  1073.56
256                  1894.35
512                  2897.22
1024                 5441.80
2048                 9304.06
4096                 8503.76
8192                13465.75
16384               21728.71
32768               28222.46
65536               31922.60
131072              33308.81
262144              34356.85
524288              34823.07
1048576             35153.96
2097152             35256.32
4194304             35070.08
