# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.31
2                       0.31
4                       0.32
8                       0.31
16                      0.33
32                      0.31
64                      0.32
128                     0.34
256                     0.35
512                     0.37
1024                    0.40
2048                    0.48
4096                    1.05
8192                    1.33
16384                   1.86
32768                   2.94
65536                   4.43
131072                  7.46
262144                 14.19
524288                 28.32
1048576                56.22
2097152               118.26
4194304               264.26
