# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.51        7508997.89
2                      14.94        7472187.12
4                      30.17        7543537.70
8                      60.69        7586561.78
16                    122.29        7643186.44
32                    231.14        7222978.19
64                    477.73        7464574.47
128                   895.45        6995717.53
256                  1809.40        7067976.04
512                  3083.83        6023101.42
1024                 5902.57        5764232.79
2048                 9735.45        4753635.42
4096                 8416.34        2054770.29
8192                13637.94        1664787.88
16384               22326.77        1362717.85
32768               28480.25         869148.29
65536               31604.92         482252.73
131072              33322.04         254227.00
262144              34164.36         130326.70
524288              36187.03          69021.28
1048576             37132.95          35412.74
2097152             36865.21          17578.70
4194304             35234.16           8400.48
