# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.49
2                      11.00
4                      22.28
8                      44.72
16                     88.51
32                    178.92
64                    357.00
128                   697.63
256                  1403.73
512                  1818.07
1024                 3552.97
2048                 6309.14
4096                 5539.66
8192                 9857.90
16384               15964.08
32768               21423.61
65536               25754.83
131072              27804.71
262144              28231.82
524288              28699.61
1048576             29850.19
2097152             29072.81
4194304             29012.95
