# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.29
4                       0.30
8                       0.28
16                      0.28
32                      0.30
64                      0.29
128                     0.29
256                     0.32
512                     0.33
1024                    0.33
2048                    0.40
4096                    0.81
8192                    1.11
16384                   1.62
32768                   2.65
65536                   4.04
131072                  6.62
262144                 12.73
524288                 25.47
1048576                49.88
2097152               103.66
4194304               255.97
