# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.29
4                       0.28
8                       0.29
16                      0.30
32                      0.28
64                      0.28
128                     0.30
256                     0.31
512                     0.32
1024                    0.32
2048                    0.41
4096                    0.79
8192                    1.12
16384                   1.68
32768                   2.75
65536                   4.03
131072                  6.43
262144                 12.69
524288                 25.44
1048576                49.73
2097152               105.16
4194304               258.71
