# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.28
4                       0.28
8                       0.28
16                      0.30
32                      0.29
64                      0.28
128                     0.28
256                     0.32
512                     0.32
1024                    0.34
2048                    0.39
4096                    0.81
8192                    1.09
16384                   1.70
32768                   2.74
65536                   4.13
131072                  6.57
262144                 12.73
524288                 25.45
1048576                49.79
2097152               103.89
4194304               260.32
