# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.48
2                      10.97
4                      22.02
8                      44.21
16                     87.97
32                    176.96
64                    350.63
128                   685.58
256                  1360.31
512                  1807.44
1024                 3580.45
2048                 6388.71
4096                 5371.46
8192                 9058.19
16384               15546.87
32768               23389.83
65536               26634.49
131072              27838.80
262144              28246.81
524288              28687.45
1048576             28961.16
2097152             29061.71
4194304             29025.35
