# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.67
2                      17.51
4                      34.33
8                      68.43
16                    135.59
32                    271.47
64                    548.68
128                  1064.03
256                  1874.59
512                  2890.53
1024                 5486.30
2048                 9372.17
4096                 8319.76
8192                13456.92
16384               21960.17
32768               28432.73
65536               31993.94
131072              33775.10
262144              35603.55
524288              36334.92
1048576             35028.21
2097152             35217.95
4194304             35023.53
