# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.48
2                      11.01
4                      22.12
8                      44.41
16                     88.48
32                    177.75
64                    348.07
128                   696.27
256                  1391.99
512                  1815.08
1024                 3557.22
2048                 6282.61
4096                 5498.23
8192                 9510.80
16384               15724.30
32768               21635.16
65536               25704.07
131072              27793.72
262144              28222.84
524288              28657.19
1048576             28931.57
2097152             30137.03
4194304             29029.68
